# Copy/pasted from stats.dat and delays.dat :(


# units: millisec

# index		signal  signal  signal	memory	memory	memory	scenario   	signal  signal  memory	memory	exec
# 		min 	avg	max	min	avg	max                	instant defer   instant	defer	time
# ----------------------------------------------------------------------   	------------------------------	----
  01 02		0.157	0.163	0.170	0	0.031	3.304	apache-p   	10	2	271586	55466	190
  04 05		0.092	0.241	0.355	0.000	0.011	1.320	apache-t   	7	3	1759925	538570	189
  07 08		0.028	0.221	1.091	0.000	0.011	67.81	mysql      	277100	6	4925186	235766	188
  10 11		0.001	0.001	0.001	0	0	0	ssh-s      	55	5	0	0	52.95
  13 14		0.024	0.647	2.600	0.006	0.048	0.091	ssh-c      	27	14	896	58	53.08
  16 17		0.003	0.563	55.47	0	0	0	make       	3679	135	0	0	107
  19 20		0	0	0	0	0	0	untar      	1	0	0	0	2.9
  22 23		0	0	0	0	0	0	urandom    	1	0	0	0	9.0
  25 26		0	0	0	0	0	0	editor     	2	0	0	0	12.4
  28 29		0.918	0.918	0.918	0	0.055	390.0	firefox    	9	1	397534	312388	120
  31 32		0.086	0.312	0.538	0.003	0.011	0.017	acroread   	50	2	201	11	2.95
  34 35		0	0	0	0	0	0	mplayer    	5	0	1293300	0	30.8
  37 38		0.087	1.166	2.245	0	0.024	65.40	openoffice 	17	2	95080	28449	11
